EventType,used Bytes,Js Used,css Used,total Bytes,URL
domcontentloaded,150159,52695,97464,411596,  https://www.onet.pl/
load,162962,65190,97772,411822,  https://www.onet.pl/
networkidle0,171104,70232,100872,411822,  https://www.onet.pl/
domcontentloaded,18812,0,18812,71636,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/style-rm.css
load,18812,0,18812,71636,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/style-rm.css
networkidle0,18812,0,18812,71636,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/style-rm.css
domcontentloaded,112873,112873,0,411804,  https://sgqcvfjvr.onet.pl/YnVpbGQvezlza2x0YTRTfWRsQXBpL2RsLmxpYntOTWFzX0ZvOH0ubWluLmpz
load,143565,143565,0,411804,  https://sgqcvfjvr.onet.pl/YnVpbGQvezlza2x0YTRTfWRsQXBpL2RsLmxpYntOTWFzX0ZvOH0ubWluLmpz
networkidle0,272174,272174,0,823608,  https://sgqcvfjvr.onet.pl/YnVpbGQvezlza2x0YTRTfWRsQXBpL2RsLmxpYntOTWFzX0ZvOH0ubWluLmpz
domcontentloaded,30858,30858,0,65950,  https://onet.hit.gemius.pl/xgemius.js
load,31428,31428,0,65950,  https://onet.hit.gemius.pl/xgemius.js
networkidle0,33476,33476,0,65950,  https://onet.hit.gemius.pl/xgemius.js
domcontentloaded,20411,20411,0,57876,  https://www.googletagservices.com/tag/js/gpt.js
load,22439,22439,0,57876,  https://www.googletagservices.com/tag/js/gpt.js
networkidle0,44194,44194,0,115752,  https://www.googletagservices.com/tag/js/gpt.js
domcontentloaded,528,528,0,530,  https://onet.hit.gemius.pl/fpdata.js?href=www.onet.pl
load,264,264,0,265,  https://onet.hit.gemius.pl/fpdata.js?href=www.onet.pl
networkidle0,528,528,0,530,  https://onet.hit.gemius.pl/fpdata.js?href=www.onet.pl
domcontentloaded,155534,155534,0,318420,  https://lib.onet.pl/s.csr/v1/build/dlApi/dl.sg.utils.min.js
load,157760,157760,0,318420,  https://lib.onet.pl/s.csr/v1/build/dlApi/dl.sg.utils.min.js
networkidle0,157760,157760,0,318420,  https://lib.onet.pl/s.csr/v1/build/dlApi/dl.sg.utils.min.js
domcontentloaded,5580,5580,0,10656,  https://ls.hit.gemius.pl/lsget.html
load,5500,5500,0,10656,  https://ls.hit.gemius.pl/lsget.html
networkidle0,12859,12859,0,21312,  https://ls.hit.gemius.pl/lsget.html
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/aops/plansza/css/style.css
load,0,0,0,12934,  https://ocdn.eu/aops/plansza/css/style.css
networkidle0,4874,0,4874,12934,  https://ocdn.eu/aops/plansza/css/style.css
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407120411/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=219&lsdata=3UKBHyXiNGtUqh_PWZpdCoGoQkMALpDy1O0dtuRLsHL..7xxLoDciX8CkXpGvHYvOLgSDeL_hHb4jXEgMwDBS6J7A7fA/FEHEueFAqP0KN/&fpdata=X9ssQzcipQqjn5T3fsOTFn.ZypJDM5sAxBXcPZu5JQD.r7&vis=1
load,168,168,0,169,  https://onet.hit.gemius.pl/_1547407120411/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=219&lsdata=3UKBHyXiNGtUqh_PWZpdCoGoQkMALpDy1O0dtuRLsHL..7xxLoDciX8CkXpGvHYvOLgSDeL_hHb4jXEgMwDBS6J7A7fA/FEHEueFAqP0KN/&fpdata=X9ssQzcipQqjn5T3fsOTFn.ZypJDM5sAxBXcPZu5JQD.r7&vis=1
networkidle0,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407120411/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=219&lsdata=3UKBHyXiNGtUqh_PWZpdCoGoQkMALpDy1O0dtuRLsHL..7xxLoDciX8CkXpGvHYvOLgSDeL_hHb4jXEgMwDBS6J7A7fA/FEHEueFAqP0KN/&fpdata=X9ssQzcipQqjn5T3fsOTFn.ZypJDM5sAxBXcPZu5JQD.r7&vis=1
domcontentloaded,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGY%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018409148103969&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018398504067299&kvIP=201901132018398504067299&kvseg_rand=85&kvseg_ab=94&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=608e35c3b8f101d1&callback=onetShowAsynchAds1
load,2425,2425,0,2426,  https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGY%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018409148103969&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018398504067299&kvIP=201901132018398504067299&kvseg_rand=85&kvseg_ab=94&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=608e35c3b8f101d1&callback=onetShowAsynchAds1
networkidle0,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGY%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018409148103969&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018398504067299&kvIP=201901132018398504067299&kvseg_rand=85&kvseg_ab=94&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=608e35c3b8f101d1&callback=onetShowAsynchAds1
domcontentloaded,no usage found,-,-,-,https://adservice.google.pl/adsid/integrator.js?domain=www.onet.pl
load,216,216,0,218,  https://adservice.google.pl/adsid/integrator.js?domain=www.onet.pl
networkidle0,216,216,0,218,  https://adservice.google.pl/adsid/integrator.js?domain=www.onet.pl
domcontentloaded,no usage found,-,-,-,https://adservice.google.com/adsid/integrator.js?domain=www.onet.pl
load,216,216,0,218,  https://adservice.google.com/adsid/integrator.js?domain=www.onet.pl
networkidle0,216,216,0,218,  https://adservice.google.com/adsid/integrator.js?domain=www.onet.pl
domcontentloaded,no usage found,-,-,-,https://securepubads.g.doubleclick.net/gpt/pubads_impl_287.js
load,37325,37325,0,188442,  https://securepubads.g.doubleclick.net/gpt/pubads_impl_287.js
networkidle0,146695,146695,0,753768,  https://securepubads.g.doubleclick.net/gpt/pubads_impl_287.js
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/resources/template-engine/pulse2embedte.template-engine/resource/none/1.1.4/providers.css
load,no usage found,-,-,-,https://ocdn.eu/resources/template-engine/pulse2embedte.template-engine/resource/none/1.1.4/providers.css
networkidle0,194,0,194,3880,  https://ocdn.eu/resources/template-engine/pulse2embedte.template-engine/resource/none/1.1.4/providers.css
domcontentloaded,no usage found,-,-,-,https://pulsembed.eu/p2em/1eEfCOQDO/
load,no usage found,-,-,-,https://pulsembed.eu/p2em/1eEfCOQDO/
networkidle0,6480,5192,1288,6556,  https://pulsembed.eu/p2em/1eEfCOQDO/
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/embed/enpaomCUj64?widget_referrer=https%3A%2F%2Fwww.onet.pl%2F&enablejsapi=1&origin=https%3A%2F%2Fpulsembed.eu&widgetid=1
load,no usage found,-,-,-,https://www.youtube.com/embed/enpaomCUj64?widget_referrer=https%3A%2F%2Fwww.onet.pl%2F&enablejsapi=1&origin=https%3A%2F%2Fpulsembed.eu&widgetid=1
networkidle0,68215,67679,536,88489,  https://www.youtube.com/embed/enpaomCUj64?widget_referrer=https%3A%2F%2Fwww.onet.pl%2F&enablejsapi=1&origin=https%3A%2F%2Fpulsembed.eu&widgetid=1
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/yts/cssbin/www-player-webp-vfl9Bz5wS.css
load,no usage found,-,-,-,https://www.youtube.com/yts/cssbin/www-player-webp-vfl9Bz5wS.css
networkidle0,55781,0,55781,610426,  https://www.youtube.com/yts/cssbin/www-player-webp-vfl9Bz5wS.css
domcontentloaded,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGB%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018409148103969&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018398527089325&kvIP=201901132018398527089325&kvseg_rand=2&kvseg_ab=72&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=5d99d5c3b8f10175&callback=onetShowAsynchAds1
load,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGB%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018409148103969&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018398527089325&kvIP=201901132018398527089325&kvseg_rand=2&kvseg_ab=72&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=5d99d5c3b8f10175&callback=onetShowAsynchAds1
networkidle0,2424,2424,0,2425,  https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGB%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018409148103969&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018398527089325&kvIP=201901132018398527089325&kvseg_rand=2&kvseg_ab=72&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=5d99d5c3b8f10175&callback=onetShowAsynchAds1
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/__/_1547407120326/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=272&lsdata=F8Um4S5w2g2oMMbU9NyeujOic8oDp6Tfwk2ZXAZ1QcH.x7gghNAMI9VuMBycEfQNUf8W.FiIuKsiMaZZTP8UALFJDDiG/FXeLAhnEqa4R1/&fpdata=X9ssQzcipQqjn5T3fsOTFn.ZypJDM5sAxBXcPZu5JQD.r7&vis=1
load,no usage found,-,-,-,https://onet.hit.gemius.pl/__/_1547407120326/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=272&lsdata=F8Um4S5w2g2oMMbU9NyeujOic8oDp6Tfwk2ZXAZ1QcH.x7gghNAMI9VuMBycEfQNUf8W.FiIuKsiMaZZTP8UALFJDDiG/FXeLAhnEqa4R1/&fpdata=X9ssQzcipQqjn5T3fsOTFn.ZypJDM5sAxBXcPZu5JQD.r7&vis=1
networkidle0,168,168,0,169,  https://onet.hit.gemius.pl/__/_1547407120326/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=272&lsdata=F8Um4S5w2g2oMMbU9NyeujOic8oDp6Tfwk2ZXAZ1QcH.x7gghNAMI9VuMBycEfQNUf8W.FiIuKsiMaZZTP8UALFJDDiG/FXeLAhnEqa4R1/&fpdata=X9ssQzcipQqjn5T3fsOTFn.ZypJDM5sAxBXcPZu5JQD.r7&vis=1
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/ucs/static/4b82d3ba8c6c3fa040d8997c6e441409/917fefb5d0177986751af81efe4fa60c/build/js/main.js
load,no usage found,-,-,-,https://ocdn.eu/ucs/static/4b82d3ba8c6c3fa040d8997c6e441409/917fefb5d0177986751af81efe4fa60c/build/js/main.js
networkidle0,71042,71042,0,209134,  https://ocdn.eu/ucs/static/4b82d3ba8c6c3fa040d8997c6e441409/917fefb5d0177986751af81efe4fa60c/build/js/main.js
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/main.js
load,no usage found,-,-,-,https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/main.js
networkidle0,24918,24918,0,62234,  https://ocdn.eu/paas-static/template-engine/b52fe683ef2bb2ca49575e31c3a455ed/build/main.js
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/paas-static/template-engine/a6c0cff4926358865a5a02a938f033e4/build/uststd.js
load,no usage found,-,-,-,https://ocdn.eu/paas-static/template-engine/a6c0cff4926358865a5a02a938f033e4/build/uststd.js
networkidle0,27384,27384,0,76100,  https://ocdn.eu/paas-static/template-engine/a6c0cff4926358865a5a02a938f033e4/build/uststd.js
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/paas-static/template-engine/ce215cca2a2ce25a63a268cf23ea549f/build/pulsembed.js
load,no usage found,-,-,-,https://ocdn.eu/paas-static/template-engine/ce215cca2a2ce25a63a268cf23ea549f/build/pulsembed.js
networkidle0,5466,5466,0,8876,  https://ocdn.eu/paas-static/template-engine/ce215cca2a2ce25a63a268cf23ea549f/build/pulsembed.js
domcontentloaded,no usage found,-,-,-,https://cmp.dreamlab.pl/static/cmp.complete.bundle.js?v=9
load,no usage found,-,-,-,https://cmp.dreamlab.pl/static/cmp.complete.bundle.js?v=9
networkidle0,329298,329298,0,544892,  https://cmp.dreamlab.pl/static/cmp.complete.bundle.js?v=9
domcontentloaded,no usage found,-,-,-,https://authorisation.grupaonet.pl/loginbar.js?appid=www.onet.pl.front&url=https%3A%2F%2Fwww.onet.pl%2F&body%5Bparams%5D%5Bfields%5D=login%2Ccounter%2Cavatar%2Csignature%2Chash%2Cdate%2CuserId%2ClastVisitCounter%2ClastVisit%2CsecondaryId%2CsecondaryIdHash&body%5Bparams%5D%5Bnts%5D=1547407120848&callback=JSONPLoader.callbacks.success1
load,no usage found,-,-,-,https://authorisation.grupaonet.pl/loginbar.js?appid=www.onet.pl.front&url=https%3A%2F%2Fwww.onet.pl%2F&body%5Bparams%5D%5Bfields%5D=login%2Ccounter%2Cavatar%2Csignature%2Chash%2Cdate%2CuserId%2ClastVisitCounter%2ClastVisit%2CsecondaryId%2CsecondaryIdHash&body%5Bparams%5D%5Bnts%5D=1547407120848&callback=JSONPLoader.callbacks.success1
networkidle0,254,254,0,255,  https://authorisation.grupaonet.pl/loginbar.js?appid=www.onet.pl.front&url=https%3A%2F%2Fwww.onet.pl%2F&body%5Bparams%5D%5Bfields%5D=login%2Ccounter%2Cavatar%2Csignature%2Chash%2Cdate%2CuserId%2ClastVisitCounter%2ClastVisit%2CsecondaryId%2CsecondaryIdHash&body%5Bparams%5D%5Bnts%5D=1547407120848&callback=JSONPLoader.callbacks.success1
domcontentloaded,no usage found,-,-,-,https://www.googletagmanager.com/gtm.js?id=GTM-P85SF2J
load,no usage found,-,-,-,https://www.googletagmanager.com/gtm.js?id=GTM-P85SF2J
networkidle0,130814,130814,0,234970,  https://www.googletagmanager.com/gtm.js?id=GTM-P85SF2J
domcontentloaded,no usage found,-,-,-,https://connect.facebook.net/en_US/fbevents.js
load,no usage found,-,-,-,https://connect.facebook.net/en_US/fbevents.js
networkidle0,60182,60182,0,104094,  https://connect.facebook.net/en_US/fbevents.js
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/resources/template-engine/pulse2embedte.template-engine/resource/none/1.1.4/providers.js
load,no usage found,-,-,-,https://ocdn.eu/resources/template-engine/pulse2embedte.template-engine/resource/none/1.1.4/providers.js
networkidle0,904,904,0,2532,  https://ocdn.eu/resources/template-engine/pulse2embedte.template-engine/resource/none/1.1.4/providers.js
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/onettv/yfp-embed-min.js?v4
load,no usage found,-,-,-,https://ocdn.eu/onettv/yfp-embed-min.js?v4
networkidle0,6736,6736,0,8706,  https://ocdn.eu/onettv/yfp-embed-min.js?v4
domcontentloaded,no usage found,-,-,-,https://ocdn.eu/onettv/embedInfoMsg.js
load,no usage found,-,-,-,https://ocdn.eu/onettv/embedInfoMsg.js
networkidle0,6538,6538,0,15290,  https://ocdn.eu/onettv/embedInfoMsg.js
domcontentloaded,no usage found,-,-,-,https://lib.onet.pl/s.csr/build/dlApi/dl.boot.min.js
load,no usage found,-,-,-,https://lib.onet.pl/s.csr/build/dlApi/dl.boot.min.js
networkidle0,1364,1364,0,1990,  https://lib.onet.pl/s.csr/build/dlApi/dl.boot.min.js
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/gplayer.js
load,no usage found,-,-,-,https://onet.hit.gemius.pl/gplayer.js
networkidle0,14400,14400,0,39454,  https://onet.hit.gemius.pl/gplayer.js
domcontentloaded,no usage found,-,-,-,https://connect.facebook.net/signals/config/1511413572442101?v=2.8.37&r=stable
load,no usage found,-,-,-,https://connect.facebook.net/signals/config/1511413572442101?v=2.8.37&r=stable
networkidle0,75892,75892,0,370552,  https://connect.facebook.net/signals/config/1511413572442101?v=2.8.37&r=stable
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/gemiuslib.js
load,no usage found,-,-,-,https://onet.hit.gemius.pl/gemiuslib.js
networkidle0,30024,30024,0,62504,  https://onet.hit.gemius.pl/gemiuslib.js
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/iframe_api
load,no usage found,-,-,-,https://www.youtube.com/iframe_api
networkidle0,1330,1330,0,1718,  https://www.youtube.com/iframe_api
domcontentloaded,no usage found,-,-,-,https://adservice.google.pl/adsid/integrator.js?domain=pulsembed.eu
load,no usage found,-,-,-,https://adservice.google.pl/adsid/integrator.js?domain=pulsembed.eu
networkidle0,216,216,0,218,  https://adservice.google.pl/adsid/integrator.js?domain=pulsembed.eu
domcontentloaded,no usage found,-,-,-,https://adservice.google.com/adsid/integrator.js?domain=pulsembed.eu
load,no usage found,-,-,-,https://adservice.google.com/adsid/integrator.js?domain=pulsembed.eu
networkidle0,216,216,0,218,  https://adservice.google.com/adsid/integrator.js?domain=pulsembed.eu
domcontentloaded,no usage found,-,-,-,https://www.google-analytics.com/analytics.js
load,no usage found,-,-,-,https://www.google-analytics.com/analytics.js
networkidle0,41306,41306,0,87420,  https://www.google-analytics.com/analytics.js
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/fpdata.js?href=pulsembed.eu
load,no usage found,-,-,-,https://onet.hit.gemius.pl/fpdata.js?href=pulsembed.eu
networkidle0,538,538,0,540,  https://onet.hit.gemius.pl/fpdata.js?href=pulsembed.eu
domcontentloaded,no usage found,-,-,-,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflkA4wlR/www-widgetapi.js
load,no usage found,-,-,-,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflkA4wlR/www-widgetapi.js
networkidle0,20214,20214,0,41390,  https://s.ytimg.com/yts/jsbin/www-widgetapi-vflkA4wlR/www-widgetapi.js
domcontentloaded,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/www-embed-player-vflVJLWWd/www-embed-player.js
load,no usage found,-,-,-,https://www.youtube.com/yts/jsbin/www-embed-player-vflVJLWWd/www-embed-player.js
networkidle0,78949,78949,0,206070,  https://www.youtube.com/yts/jsbin/www-embed-player-vflVJLWWd/www-embed-player.js
